!Agilent Technologies,E4990A,MY54201829,A.02.20
!Date: Thu Nov 04 14:24:30 2021

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+1.00000000000e+004, +4.45699527408e+001, +8.92773197935e+001
+1.00577310000e+004, +4.48261040000e+001, +8.92784854292e+001
+1.01157950000e+004, +4.50831098509e+001, +8.92752592056e+001
+1.01741940000e+004, +4.53436771697e+001, +8.92747939545e+001
+1.02329300000e+004, +4.56028436820e+001, +8.92732198486e+001
+1.02920050000e+004, +4.58658287922e+001, +8.92734437693e+001
+1.03514220000e+004, +4.61311962181e+001, +8.92709232165e+001
+1.04111810000e+004, +4.63958465013e+001, +8.92721372413e+001
+1.04712850000e+004, +4.66626279422e+001, +8.92704519543e+001
+1.05317370000e+004, +4.69329555316e+001, +8.92685824543e+001
+1.05925370000e+004, +4.72045769632e+001, +8.92690983429e+001
+1.06536890000e+004, +4.74736989812e+001, +8.92659672994e+001
+1.07151930000e+004, +4.77499911039e+001, +8.92651738028e+001
+1.07770530000e+004, +4.80258104298e+001, +8.92652924963e+001
+1.08392690000e+004, +4.83017277264e+001, +8.92632195080e+001
+1.09018450000e+004, +4.85812069367e+001, +8.92633502798e+001
+1.09647820000e+004, +4.88613462256e+001, +8.92605423367e+001
+1.10280820000e+004, +4.91417811345e+001, +8.92609502549e+001
+1.10917480000e+004, +4.94283064537e+001, +8.92594409120e+001
+1.11557820000e+004, +4.97134697962e+001, +8.92600513159e+001
+1.12201850000e+004, +5.00003876384e+001, +8.92596349030e+001
+1.12849590000e+004, +5.02899643338e+001, +8.92575362248e+001
+1.13501080000e+004, +5.05798170147e+001, +8.92553642582e+001
+1.14156330000e+004, +5.08722269775e+001, +8.92538046094e+001
+1.14815360000e+004, +5.11673878861e+001, +8.92534440991e+001
+1.15478200000e+004, +5.14654894627e+001, +8.92552646009e+001
+1.16144860000e+004, +5.17638185839e+001, +8.92533379263e+001
+1.16815370000e+004, +5.20634083340e+001, +8.92508414088e+001
+1.17489760000e+004, +5.23667743605e+001, +8.92497809301e+001
+1.18168030000e+004, +5.26703170118e+001, +8.92505556358e+001
+1.18850220000e+004, +5.29775625938e+001, +8.92479387349e+001
+1.19536350000e+004, +5.32856193293e+001, +8.92472410155e+001
+1.20226440000e+004, +5.35956035638e+001, +8.92456294199e+001
+1.20920520000e+004, +5.39085031483e+001, +8.92446134260e+001
+1.21618600000e+004, +5.42202675867e+001, +8.92454753478e+001
+1.22320710000e+004, +5.45401082655e+001, +8.92422087228e+001
+1.23026880000e+004, +5.48588881881e+001, +8.92418779827e+001
+1.23737120000e+004, +5.51792419515e+001, +8.92433071209e+001
+1.24451460000e+004, +5.55003146654e+001, +8.92401947771e+001
+1.25169930000e+004, +5.58294873802e+001, +8.92422726769e+001
+1.25892540000e+004, +5.61536956370e+001, +8.92372203263e+001
+1.26619330000e+004, +5.64853996964e+001, +8.92379057647e+001
+1.27350310000e+004, +5.68178631479e+001, +8.92367398360e+001
+1.28085510000e+004, +5.71516778448e+001, +8.92361051327e+001
+1.28824960000e+004, +5.74887418990e+001, +8.92358330363e+001
+1.29568670000e+004, +5.78299255259e+001, +8.92334206218e+001
+1.30316680000e+004, +5.81739240418e+001, +8.92326718329e+001
+1.31069000000e+004, +5.85188476153e+001, +8.92295023542e+001
+1.31825670000e+004, +5.88684141810e+001, +8.92309662629e+001
+1.32586710000e+004, +5.92180722315e+001, +8.92281989516e+001
+1.33352140000e+004, +5.95747815012e+001, +8.92242392707e+001
+1.34121990000e+004, +5.99300707030e+001, +8.92234044474e+001
+1.34896290000e+004, +6.02933559464e+001, +8.92233373279e+001
+1.35675050000e+004, +6.06556280518e+001, +8.92201078818e+001
+1.36458310000e+004, +6.10250749364e+001, +8.92171696097e+001
+1.37246100000e+004, +6.13958675052e+001, +8.92151019086e+001
+1.38038430000e+004, +6.17734574569e+001, +8.92120410419e+001
+1.38835330000e+004, +6.21569555304e+001, +8.92102593924e+001
+1.39636840000e+004, +6.25434495785e+001, +8.92058591053e+001
+1.40442970000e+004, +6.29323507888e+001, +8.91998523019e+001
+1.41253750000e+004, +6.33300390231e+001, +8.91980479573e+001
+1.42069220000e+004, +6.37314400943e+001, +8.91924199175e+001
+1.42889400000e+004, +6.41400176126e+001, +8.91872823529e+001
+1.43714310000e+004, +6.45611177730e+001, +8.91797991936e+001
+1.44543980000e+004, +6.49846447699e+001, +8.91698018320e+001
+1.45378440000e+004, +6.54230899559e+001, +8.91630420002e+001
+1.46217720000e+004, +6.58701896289e+001, +8.91510860616e+001
+1.47061840000e+004, +6.63310117704e+001, +8.91361984688e+001
+1.47910840000e+004, +6.68138457517e+001, +8.91199801076e+001
+1.48764740000e+004, +6.73168618472e+001, +8.90992244352e+001
+1.49623570000e+004, +6.78393746554e+001, +8.90593730877e+001
+1.50487350000e+004, +6.83786564842e+001, +8.90175567558e+001
+1.51356120000e+004, +6.89647847662e+001, +8.89693376296e+001
+1.52229910000e+004, +6.96069730767e+001, +8.89097816167e+001
+1.53108750000e+004, +7.03394192536e+001, +8.88136498896e+001
+1.53992650000e+004, +7.11781922652e+001, +8.86566661059e+001
+1.54881660000e+004, +7.21812963679e+001, +8.84023595631e+001
+1.55775800000e+004, +7.34517745330e+001, +8.78989730367e+001
+1.56675110000e+004, +7.49463723288e+001, +8.67913351311e+001
+1.57579600000e+004, +7.60212248152e+001, +8.47044919561e+001
+1.58489320000e+004, +7.51334611259e+001, +8.14305156259e+001
+1.59404290000e+004, +6.96812374252e+001, +7.89900147904e+001
+1.60324540000e+004, +6.41322052574e+001, +8.22660995417e+001
+1.61250100000e+004, +6.51600464134e+001, +8.65164598455e+001
+1.62181010000e+004, +6.70318164970e+001, +8.76315659138e+001
+1.63117290000e+004, +6.82572371205e+001, +8.81286751311e+001
+1.64058980000e+004, +6.91936167206e+001, +8.84452533294e+001
+1.65006100000e+004, +7.00296307417e+001, +8.86610300743e+001
+1.65958690000e+004, +7.07717148389e+001, +8.88010048561e+001
+1.66916780000e+004, +7.14511123859e+001, +8.89081249162e+001
+1.67880400000e+004, +7.21086101348e+001, +8.89864582894e+001
+1.68849590000e+004, +7.27202957058e+001, +8.90326464218e+001
+1.69824370000e+004, +7.33012886839e+001, +8.90600936179e+001
+1.70804770000e+004, +7.38536969362e+001, +8.90846481511e+001
+1.71790840000e+004, +7.43889202581e+001, +8.91068150520e+001
+1.72782600000e+004, +7.49169316677e+001, +8.91241612994e+001
+1.73780080000e+004, +7.54358112876e+001, +8.91399468522e+001
+1.74783330000e+004, +7.59471891742e+001, +8.91505422472e+001
+1.75792360000e+004, +7.64517407613e+001, +8.91614924811e+001
+1.76807220000e+004, +7.69546836992e+001, +8.91712070339e+001
+1.77827940000e+004, +7.74506725041e+001, +8.91797646706e+001
+1.78854550000e+004, +7.79481367306e+001, +8.91866629263e+001
+1.79887090000e+004, +7.84423663214e+001, +8.91898036295e+001
+1.80925590000e+004, +7.89353895946e+001, +8.91951259235e+001
+1.81970090000e+004, +7.94273296162e+001, +8.91990867214e+001
+1.83020610000e+004, +7.99183803308e+001, +8.92029049859e+001
+1.84077200000e+004, +8.04114946235e+001, +8.92052770392e+001
+1.85139890000e+004, +8.09030402347e+001, +8.92072644100e+001
+1.86208710000e+004, +8.13975564774e+001, +8.92122065831e+001
+1.87283710000e+004, +8.18899564406e+001, +8.92148451131e+001
+1.88364910000e+004, +8.23867433759e+001, +8.92173534130e+001
+1.89452350000e+004, +8.28821031299e+001, +8.92207328781e+001
+1.90546070000e+004, +8.33792444521e+001, +8.92211302859e+001
+1.91646110000e+004, +8.38785484296e+001, +8.92224008211e+001
+1.92752490000e+004, +8.43808406126e+001, +8.92252229870e+001
+1.93865260000e+004, +8.48828487676e+001, +8.92276786306e+001
+1.94984460000e+004, +8.53878525040e+001, +8.92284191739e+001
+1.96110120000e+004, +8.58933506562e+001, +8.92288650814e+001
+1.97242270000e+004, +8.64029705487e+001, +8.92307476908e+001
+1.98380970000e+004, +8.69160717441e+001, +8.92324849023e+001
+1.99526230000e+004, +8.74263311661e+001, +8.92334671344e+001
+2.00678110000e+004, +8.79393976100e+001, +8.92354442908e+001
+2.01836640000e+004, +8.84609782024e+001, +8.92367654662e+001
+2.03001850000e+004, +8.89814292507e+001, +8.92369145570e+001
+2.04173790000e+004, +8.95040134851e+001, +8.92387082766e+001
+2.05352500000e+004, +9.00282745042e+001, +8.92405779857e+001
+2.06538020000e+004, +9.05551166266e+001, +8.92408398153e+001
+2.07730370000e+004, +9.10863889945e+001, +8.92421513049e+001
+2.08929610000e+004, +9.16210522907e+001, +8.92438349588e+001
+2.10135780000e+004, +9.21538159618e+001, +8.92442469141e+001
+2.11348900000e+004, +9.26933868344e+001, +8.92447124080e+001
+2.12569030000e+004, +9.32359030642e+001, +8.92455136373e+001
+2.13796210000e+004, +9.37809134951e+001, +8.92471276098e+001
+2.15030470000e+004, +9.43282161866e+001, +8.92467557017e+001
+2.16271850000e+004, +9.48767327011e+001, +8.92506711168e+001
+2.17520400000e+004, +9.54279239945e+001, +8.92498906373e+001
+2.18776160000e+004, +9.59835845226e+001, +8.92494184002e+001
+2.20039170000e+004, +9.65417067778e+001, +8.92516288545e+001
+2.21309470000e+004, +9.71061340457e+001, +8.92516889689e+001
+2.22587100000e+004, +9.76703095659e+001, +8.92535501590e+001
+2.23872110000e+004, +9.82342048331e+001, +8.92556901049e+001
+2.25164540000e+004, +9.88085869405e+001, +8.92539078172e+001
+2.26464430000e+004, +9.93788231677e+001, +8.92568431536e+001
+2.27771820000e+004, +9.99562982756e+001, +8.92581380324e+001
+2.29086770000e+004, +1.00537358466e+002, +8.92566647900e+001
+2.30409300000e+004, +1.01122370119e+002, +8.92588516857e+001
+2.31739460000e+004, +1.01708293048e+002, +8.92601303948e+001
+2.33077310000e+004, +1.02295854854e+002, +8.92609721586e+001
+2.34422880000e+004, +1.02891208046e+002, +8.92596019638e+001
+2.35776220000e+004, +1.03485879676e+002, +8.92624465651e+001
+2.37137370000e+004, +1.04086159508e+002, +8.92626806799e+001
+2.38506380000e+004, +1.04690481896e+002, +8.92641147738e+001
+2.39883290000e+004, +1.05297395577e+002, +8.92641442361e+001
+2.41268150000e+004, +1.05905827127e+002, +8.92665010303e+001
+2.42661010000e+004, +1.06520354197e+002, +8.92653935406e+001
+2.44061910000e+004, +1.07135309984e+002, +8.92665408992e+001
+2.45470890000e+004, +1.07755976019e+002, +8.92679139573e+001
+2.46888010000e+004, +1.08379000561e+002, +8.92692359609e+001
+2.48313310000e+004, +1.09006023174e+002, +8.92687517047e+001
+2.49746840000e+004, +1.09637052281e+002, +8.92707266483e+001
+2.51188640000e+004, +1.10270634459e+002, +8.92719136671e+001
+2.52638770000e+004, +1.10909047934e+002, +8.92721734666e+001
+2.54097270000e+004, +1.11548572336e+002, +8.92707210048e+001
+2.55564190000e+004, +1.12196808587e+002, +8.92731196620e+001
+2.57039580000e+004, +1.12846400667e+002, +8.92754096921e+001
+2.58523480000e+004, +1.13497219488e+002, +8.92740527292e+001
+2.60015960000e+004, +1.14155118000e+002, +8.92747549501e+001
+2.61517040000e+004, +1.14812251540e+002, +8.92776137850e+001
+2.63026800000e+004, +1.15475037085e+002, +8.92779253747e+001
+2.64545270000e+004, +1.16147903902e+002, +8.92783123756e+001
+2.66072510000e+004, +1.16818705772e+002, +8.92800302530e+001
+2.67608560000e+004, +1.17495888879e+002, +8.92810756997e+001
