!Agilent Technologies,E4990A,MY54201829,A.02.20
!Date: Fri Mar 18 03:39:53 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data
+5.00000000000e+004, +3.81722973539e+001
+5.04773200000e+004, +3.85363218195e+001
+5.09591970000e+004, +3.89047011097e+001
+5.14456750000e+004, +3.92769721330e+001
+5.19367960000e+004, +3.96524091148e+001
+5.24326060000e+004, +4.00308707487e+001
+5.29331490000e+004, +4.04143631641e+001
+5.34384700000e+004, +4.08006311623e+001
+5.39486160000e+004, +4.11896429926e+001
+5.44636310000e+004, +4.15834085114e+001
+5.49835630000e+004, +4.19824852235e+001
+5.55084580000e+004, +4.23832847247e+001
+5.60383650000e+004, +4.27882207924e+001
+5.65733300000e+004, +4.31972605236e+001
+5.71134020000e+004, +4.36096774671e+001
+5.76586300000e+004, +4.40269632883e+001
+5.82090620000e+004, +4.44476385671e+001
+5.87647500000e+004, +4.48728402829e+001
+5.93257420000e+004, +4.53030736947e+001
+5.98920900000e+004, +4.57360170223e+001
+6.04638440000e+004, +4.61729974417e+001
+6.10410560000e+004, +4.66150975698e+001
+6.16237790000e+004, +4.70607359498e+001
+6.22120650000e+004, +4.75112970209e+001
+6.28059670000e+004, +4.79652344576e+001
+6.34055380000e+004, +4.84244057537e+001
+6.40108330000e+004, +4.88873544337e+001
+6.46219070000e+004, +4.93549473859e+001
+6.52388140000e+004, +4.98273723248e+001
+6.58616100000e+004, +5.03036404597e+001
+6.64903520000e+004, +5.07860176776e+001
+6.71250960000e+004, +5.12719279945e+001
+6.77658990000e+004, +5.17618898828e+001
+6.84128200000e+004, +5.22569353115e+001
+6.90659160000e+004, +5.27577437474e+001
+6.97252480000e+004, +5.32618567631e+001
+7.03908730000e+004, +5.37717490019e+001
+7.10628530000e+004, +5.42875084892e+001
+7.17412480000e+004, +5.48068559365e+001
+7.24261190000e+004, +5.53314099564e+001
+7.31175290000e+004, +5.58608540094e+001
+7.38155380000e+004, +5.63950581516e+001
+7.45202120000e+004, +5.69357993412e+001
+7.52316120000e+004, +5.74810625114e+001
+7.59498030000e+004, +5.80322818069e+001
+7.66748510000e+004, +5.85873683695e+001
+7.74068200000e+004, +5.91491824531e+001
+7.81457780000e+004, +5.97164579197e+001
+7.88917890000e+004, +6.02865692608e+001
+7.96449220000e+004, +6.08653301632e+001
+8.04052450000e+004, +6.14485228411e+001
+8.11728260000e+004, +6.20387541641e+001
+8.19477350000e+004, +6.26339196792e+001
+8.27300410000e+004, +6.32338353870e+001
+8.35198160000e+004, +6.38403975692e+001
