!Agilent Technologies,E4990A,MY54201829,A.02.20
!Date: Fri Mar 18 03:40:07 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+5.00000000000e+004, +3.81713545220e+001, +8.98022479243e+001
+5.04773200000e+004, +3.85349695151e+001, +8.98006426263e+001
+5.09591970000e+004, +3.89045865295e+001, +8.98008803879e+001
+5.14456750000e+004, +3.92763982007e+001, +8.97986058912e+001
+5.19367960000e+004, +3.96510446332e+001, +8.97972747396e+001
+5.24326060000e+004, +4.00308564500e+001, +8.97962846745e+001
+5.29331490000e+004, +4.04130897035e+001, +8.97958089384e+001
+5.34384700000e+004, +4.07988500961e+001, +8.97946160306e+001
+5.39486160000e+004, +4.11902104671e+001, +8.97939493877e+001
+5.44636310000e+004, +4.15828393021e+001, +8.97906479640e+001
+5.49835630000e+004, +4.19796603583e+001, +8.97903646894e+001
+5.55084580000e+004, +4.23821658284e+001, +8.97889630303e+001
+5.60383650000e+004, +4.27871118813e+001, +8.97887689444e+001
+5.65733300000e+004, +4.31965294327e+001, +8.97863324855e+001
+5.71134020000e+004, +4.36101439170e+001, +8.97852875308e+001
+5.76586300000e+004, +4.40262164646e+001, +8.97843635728e+001
+5.82090620000e+004, +4.44477421350e+001, +8.97818189178e+001
+5.87647500000e+004, +4.48728874858e+001, +8.97813021730e+001
+5.93257420000e+004, +4.53016020753e+001, +8.97800093533e+001
+5.98920900000e+004, +4.57347468860e+001, +8.97786614092e+001
+6.04638440000e+004, +4.61723994357e+001, +8.97772124979e+001
+6.10410560000e+004, +4.66138893258e+001, +8.97759253069e+001
+6.16237790000e+004, +4.70595427002e+001, +8.97744415601e+001
+6.22120650000e+004, +4.75098506423e+001, +8.97737711647e+001
+6.28059670000e+004, +4.79641087349e+001, +8.97708529471e+001
+6.34055380000e+004, +4.84229177599e+001, +8.97703696524e+001
+6.40108330000e+004, +4.88858487682e+001, +8.97680232281e+001
+6.46219070000e+004, +4.93537164832e+001, +8.97670609053e+001
+6.52388140000e+004, +4.98265685170e+001, +8.97640097907e+001
+6.58616100000e+004, +5.03032947482e+001, +8.97649149641e+001
+6.64903520000e+004, +5.07840538166e+001, +8.97624101395e+001
+6.71250960000e+004, +5.12705099762e+001, +8.97612788754e+001
+6.77658990000e+004, +5.17608051159e+001, +8.97591885888e+001
+6.84128200000e+004, +5.22564515639e+001, +8.97565357427e+001
+6.90659160000e+004, +5.27565611396e+001, +8.97556957983e+001
+6.97252480000e+004, +5.32612071461e+001, +8.97535754361e+001
+7.03908730000e+004, +5.37712168738e+001, +8.97524410786e+001
+7.10628530000e+004, +5.42853583627e+001, +8.97513377983e+001
+7.17412480000e+004, +5.48058904649e+001, +8.97487528010e+001
+7.24261190000e+004, +5.53291000678e+001, +8.97478837486e+001
+7.31175290000e+004, +5.58592700261e+001, +8.97450078322e+001
+7.38155380000e+004, +5.63938195808e+001, +8.97428904648e+001
+7.45202120000e+004, +5.69347833432e+001, +8.97428714947e+001
+7.52316120000e+004, +5.74802916285e+001, +8.97401309287e+001
+7.59498030000e+004, +5.80307805702e+001, +8.97379261327e+001
+7.66748510000e+004, +5.85851591641e+001, +8.97362366027e+001
+7.74068200000e+004, +5.91466631206e+001, +8.97341353271e+001
+7.81457780000e+004, +5.97137030377e+001, +8.97319996063e+001
+7.88917890000e+004, +6.02845597441e+001, +8.97306451542e+001
+7.96449220000e+004, +6.08631532320e+001, +8.97271537517e+001
+8.04052450000e+004, +6.14462662838e+001, +8.97258810147e+001
+8.11728260000e+004, +6.20366167993e+001, +8.97238029172e+001
+8.19477350000e+004, +6.26315378412e+001, +8.97214045263e+001
+8.27300410000e+004, +6.32312689011e+001, +8.97198645839e+001
+8.35198160000e+004, +6.38385989771e+001, +8.97174465147e+001
+8.43171300000e+004, +6.44499721338e+001, +8.97143941127e+001
+8.51220560000e+004, +6.50670718631e+001, +8.97126985755e+001
+8.59346660000e+004, +6.56918444077e+001, +8.97108121045e+001
+8.67550330000e+004, +6.63208426539e+001, +8.97088816795e+001
+8.75832320000e+004, +6.69568879913e+001, +8.97058840223e+001
+8.84193370000e+004, +6.75989111109e+001, +8.97030630913e+001
+8.92634240000e+004, +6.82470976137e+001, +8.97015552159e+001
+9.01155690000e+004, +6.89019056386e+001, +8.96989418695e+001
+9.09758490000e+004, +6.95626440535e+001, +8.96971161584e+001
+9.18443410000e+004, +7.02294082602e+001, +8.96940306573e+001
+9.27211250000e+004, +7.09022769358e+001, +8.96921582918e+001
+9.36062780000e+004, +7.15823340674e+001, +8.96902537999e+001
+9.44998820000e+004, +7.22692210315e+001, +8.96872059290e+001
+9.54020160000e+004, +7.29632108252e+001, +8.96854538175e+001
+9.63127630000e+004, +7.36632304734e+001, +8.96832438323e+001
+9.72322040000e+004, +7.43698307833e+001, +8.96803956456e+001
+9.81604220000e+004, +7.50838780003e+001, +8.96775153182e+001
+9.90975010000e+004, +7.58039237940e+001, +8.96749285061e+001
+1.00043526000e+005, +7.65324603874e+001, +8.96725660848e+001
+1.00998583000e+005, +7.72667354310e+001, +8.96695548288e+001
+1.01962756000e+005, +7.80105166272e+001, +8.96672604868e+001
+1.02936134000e+005, +7.87588601700e+001, +8.96648777976e+001
+1.03918804000e+005, +7.95151368913e+001, +8.96616145936e+001
+1.04910856000e+005, +8.02797746138e+001, +8.96593869669e+001
+1.05912377000e+005, +8.10491999776e+001, +8.96563373083e+001
+1.06923460000e+005, +8.18293648387e+001, +8.96537668251e+001
+1.07944195000e+005, +8.26155071078e+001, +8.96503119999e+001
+1.08974674000e+005, +8.34109624623e+001, +8.96477993977e+001
+1.10014991000e+005, +8.42129743196e+001, +8.96459885535e+001
+1.11065239000e+005, +8.50221295131e+001, +8.96417454059e+001
+1.12125513000e+005, +8.58392292399e+001, +8.96379762724e+001
+1.13195908000e+005, +8.66659625309e+001, +8.96360399847e+001
+1.14276523000e+005, +8.74980904567e+001, +8.96325170573e+001
+1.15367453000e+005, +8.83421147081e+001, +8.96290312975e+001
+1.16468797000e+005, +8.91908696650e+001, +8.96266643259e+001
+1.17580656000e+005, +9.00499213176e+001, +8.96238850410e+001
+1.18703129000e+005, +9.09146786168e+001, +8.96205533674e+001
+1.19836317000e+005, +9.17904152478e+001, +8.96171189887e+001
